datetime,open,high,low,close,volume,oi
2003-05-12 00:00:00+05:30,50.44,50.63,49.71,50.2,11000229,0
2003-05-13 00:00:00+05:30,50.42,50.6,50.0,50.39,8844468,0
2003-05-14 00:00:00+05:30,50.39,51.44,50.39,51.3,14714655,0
2003-05-15 00:00:00+05:30,51.33,51.67,51.03,51.46,10315408,0
2003-05-16 00:00:00+05:30,51.78,51.94,51.38,51.72,11326956,0
2003-05-19 00:00:00+05:30,51.79,52.2,51.49,51.8,13319766,0
2003-05-20 00:00:00+05:30,50.92,52.51,50.92,52.38,15334265,0
2003-05-21 00:00:00+05:30,52.49,52.71,51.84,52.32,13395984,0
2003-05-22 00:00:00+05:30,52.09,52.98,51.88,52.86,15608312,0
2003-05-23 00:00:00+05:30,52.17,52.34,51.8,52.02,7929330,0
2003-05-26 00:00:00+05:30,51.98,54.09,51.78,53.79,15732966,0
2003-05-27 00:00:00+05:30,53.73,54.75,53.57,53.99,20177938,0
2003-05-28 00:00:00+05:30,54.09,55.69,54.09,55.44,26613408,0
2003-05-29 00:00:00+05:30,55.73,56.77,55.15,56.52,22494353,0
2003-05-30 00:00:00+05:30,56.6,58.14,56.4,57.48,32689008,0
2003-06-02 00:00:00+05:30,57.56,57.83,56.47,56.7,13682540,0
2003-06-03 00:00:00+05:30,56.29,56.79,56.07,56.24,6870748,0
2003-06-04 00:00:00+05:30,56.32,58.27,56.21,57.88,23828665,0
2003-06-05 00:00:00+05:30,58.71,60.6,58.64,60.16,52202914,0
2003-06-06 00:00:00+05:30,60.64,60.99,59.81,60.35,28914218,0
2003-06-09 00:00:00+05:30,61.49,61.49,58.85,59.21,22426499,0
2003-06-10 00:00:00+05:30,58.94,60.4,58.09,58.43,26184919,0
2003-06-11 00:00:00+05:30,58.34,59.44,58.34,59.24,18233849,0
2003-06-12 00:00:00+05:30,59.42,59.85,59.12,59.29,13799995,0
2003-06-13 00:00:00+05:30,59.63,60.52,59.61,60.24,26778613,0
2003-06-16 00:00:00+05:30,60.67,61.02,58.96,59.15,40108722,0
2003-06-17 00:00:00+05:30,59.63,62.16,59.42,61.81,47561943,0
2003-06-18 00:00:00+05:30,62.13,62.13,60.96,61.22,27401704,0
2003-06-19 00:00:00+05:30,57.97,62.76,57.97,62.54,37349616,0
2003-06-20 00:00:00+05:30,61.99,65.02,61.99,64.56,72952249,0
2003-06-23 00:00:00+05:30,64.38,64.38,62.39,62.61,23054301,0
2003-06-24 00:00:00+05:30,62.61,63.19,61.41,61.67,33881283,0
2003-06-25 00:00:00+05:30,61.99,63.33,61.99,62.53,30255294,0
2003-06-26 00:00:00+05:30,62.76,63.89,62.23,62.59,38437870,0
2003-06-27 00:00:00+05:30,62.88,63.14,61.9,62.51,24135247,0
2003-06-30 00:00:00+05:30,62.56,63.56,62.1,62.54,29182873,0
2003-07-01 00:00:00+05:30,62.76,63.22,62.23,62.72,30772977,0
2003-07-02 00:00:00+05:30,63.11,64.3,62.76,63.24,39368535,0
2003-07-03 00:00:00+05:30,63.48,64.56,63.01,63.67,42779055,0
2003-07-04 00:00:00+05:30,64.11,64.93,63.72,64.09,30849636,0
2003-07-07 00:00:00+05:30,64.3,64.97,63.06,63.28,21270244,0
2003-07-08 00:00:00+05:30,63.35,63.72,62.5,62.8,18348119,0
2003-07-09 00:00:00+05:30,63.53,63.53,62.23,62.88,15929330,0
2003-07-10 00:00:00+05:30,63.31,64.59,62.88,64.31,22131569,0
2003-07-11 00:00:00+05:30,64.3,64.97,63.46,63.66,21503621,0
2003-07-14 00:00:00+05:30,64.09,65.55,64.09,65.4,34002961,0
2003-07-15 00:00:00+05:30,65.64,66.39,64.43,65.0,31204561,0
2003-07-16 00:00:00+05:30,64.81,66.68,64.48,66.17,28979953,0
2003-07-17 00:00:00+05:30,66.41,66.78,64.68,65.22,29948977,0
2003-07-18 00:00:00+05:30,65.15,67.38,64.3,65.31,29049792,0
2003-07-21 00:00:00+05:30,65.68,65.73,64.31,64.62,24357761,0
2003-07-22 00:00:00+05:30,64.65,64.65,63.4,64.3,27295688,0
2003-07-23 00:00:00+05:30,64.68,64.78,63.02,63.49,23147751,0
2003-07-24 00:00:00+05:30,63.74,66.61,63.35,65.8,29255522,0
2003-07-25 00:00:00+05:30,66.41,67.56,65.89,67.3,41967023,0
2003-07-28 00:00:00+05:30,67.48,68.2,66.12,66.45,25142457,0
2003-07-29 00:00:00+05:30,66.04,67.18,65.81,66.92,26358099,0
2003-07-30 00:00:00+05:30,66.22,68.06,63.53,67.11,25594390,0
2003-07-31 00:00:00+05:30,67.56,69.66,66.8,68.9,83421730,0
2003-08-01 00:00:00+05:30,69.23,69.23,68.06,68.34,27698551,0
2003-08-04 00:00:00+05:30,68.05,68.86,67.86,68.31,19176042,0
2003-08-05 00:00:00+05:30,68.45,70.06,66.34,66.98,42071044,0
2003-08-06 00:00:00+05:30,66.14,68.61,66.14,67.48,45184042,0
2003-08-07 00:00:00+05:30,67.98,68.72,67.12,68.44,29122301,0
2003-08-08 00:00:00+05:30,69.28,70.16,68.72,69.94,37270021,0
2003-08-11 00:00:00+05:30,69.01,70.26,69.01,69.55,24245730,0
2003-08-12 00:00:00+05:30,74.84,74.84,68.44,68.68,20000447,0
2003-08-13 00:00:00+05:30,71.2,71.2,68.48,69.48,23541117,0
2003-08-14 00:00:00+05:30,69.69,70.34,68.75,69.03,24950530,0
2003-08-18 00:00:00+05:30,69.11,70.16,68.34,69.54,28959932,0
2003-08-19 00:00:00+05:30,69.81,71.5,69.43,71.05,30529018,0
2003-08-20 00:00:00+05:30,71.61,72.13,70.75,71.01,18212426,0
2003-08-21 00:00:00+05:30,72.19,72.19,71.06,71.44,21960925,0
2003-08-22 00:00:00+05:30,71.84,74.06,71.61,73.48,43321553,0
2003-08-25 00:00:00+05:30,74.31,81.75,70.67,72.88,49114073,0
2003-08-26 00:00:00+05:30,73.15,75.45,72.78,75.2,41587761,0
2003-08-27 00:00:00+05:30,75.08,76.43,75.08,75.81,27266338,0
2003-08-28 00:00:00+05:30,75.84,76.52,74.79,75.79,26204338,0
2003-08-29 00:00:00+05:30,76.81,77.91,75.8,77.13,34228192,0
2003-09-01 00:00:00+05:30,76.66,79.77,76.66,78.95,31326977,0
2003-09-02 00:00:00+05:30,79.89,81.16,79.23,80.58,50173200,0
2003-09-03 00:00:00+05:30,80.11,80.64,78.16,78.53,28718540,0
2003-09-04 00:00:00+05:30,78.33,79.5,77.98,78.79,32900670,0
2003-09-05 00:00:00+05:30,79.14,81.09,79.14,80.81,30179387,0
2003-09-08 00:00:00+05:30,81.25,84.21,81.25,83.85,40746457,0
2003-09-09 00:00:00+05:30,84.15,85.16,83.18,83.99,45812114,0
2003-09-10 00:00:00+05:30,83.74,83.82,82.89,83.67,26396026,0
2003-09-11 00:00:00+05:30,81.81,84.55,81.81,82.52,35834374,0
2003-09-12 00:00:00+05:30,82.39,83.47,80.08,80.69,31583766,0
2003-09-15 00:00:00+05:30,80.66,80.81,77.31,77.88,45212956,0
2003-09-16 00:00:00+05:30,78.16,79.25,75.77,78.95,50814094,0
2003-09-17 00:00:00+05:30,80.47,80.47,77.41,78.33,37428442,0
2003-09-18 00:00:00+05:30,78.73,78.73,75.59,76.09,45325969,0
2003-09-19 00:00:00+05:30,76.05,78.51,75.45,77.78,57016447,0
2003-09-22 00:00:00+05:30,79.29,79.29,77.02,77.59,27696016,0
2003-09-23 00:00:00+05:30,77.03,80.06,76.56,79.42,26326317,0
2003-09-24 00:00:00+05:30,80.2,83.01,79.36,82.58,44107979,0
2003-09-25 00:00:00+05:30,82.39,83.26,80.08,80.5,52016223,0
2003-09-26 00:00:00+05:30,81.0,82.28,80.27,82.06,37695912,0
2003-09-29 00:00:00+05:30,98.18,98.18,82.34,83.6,25581200,0
2003-09-30 00:00:00+05:30,83.98,85.73,83.74,85.43,40491787,0
2003-10-01 00:00:00+05:30,84.89,85.73,83.36,83.87,23875797,0
2003-10-03 00:00:00+05:30,84.51,86.63,84.31,86.35,34474161,0
2003-10-06 00:00:00+05:30,86.34,88.51,81.33,88.07,25359060,0
2003-10-07 00:00:00+05:30,88.17,88.74,86.65,86.97,28132904,0
